k [Mpc^-1],P(k) [mK^2 Mpc^3],σ_P [mK^2 Mpc^3],P(k)/σ_P
0.34,53.43,27.8,1.92
0.61,0.6,4.13,0.14
1.01,4.34,0.85,5.12
1.68,1.51,0.27,5.62
2.81,0.96,0.13,7.54
4.31,0.56,0.15,3.8
7.04,0.28,0.41,0.69
